SrNO,Date,Time,DuNo,dispSrNo,displayShaSign,firmware,autoMode,onoff,Nozzle1_ID,Nozzle1_Amount,Nozzle1_Volume,Nozzle1_KFactor,Nozzle1_Timestamp,Nozzle1_TXN,Nozzle1_FW,Nozzle1_SHA,Nozzle2_ID,Nozzle2_Amount,Nozzle2_Volume,Nozzle2_KFactor,Nozzle2_Timestamp,Nozzle2_TXN,Nozzle2_FW,Nozzle2_SHA,Nozzle3_ID,Nozzle3_Amount,Nozzle3_Volume,Nozzle3_KFactor,Nozzle3_Timestamp,Nozzle3_TXN,Nozzle3_FW,Nozzle3_SHA,Nozzle4_ID,Nozzle4_Amount,Nozzle4_Volume,Nozzle4_KFactor,Nozzle4_Timestamp,Nozzle4_TXN,Nozzle4_FW,Nozzle4_SHA
1,10/02/2026,18:27:52,99000000,12000000,0x039506a0e5d15c2c51d6977aeb914c1c422cb5d4636bad73c94c61568957b2b,0.0,0,0,1,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,2,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,3,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,4,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000
2,10/02/2026,18:28:08,99000000,12000000,0x039506a0e5d15c2c51d6977aeb914c1c422cb5d4636bad73c94c61568957b2b,0.0,0,0,1,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,2,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,3,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,4,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000
3,10/02/2026,18:29:02,99000000,12000000,0x039506a0e5d15c2c51d6977aeb914c1c422cb5d4636bad73c94c61568957b2b,0.0,0,0,1,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,2,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,3,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,4,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000
4,10/02/2026,18:29:49,99000000,12000000,0x039506a0e5d15c2c51d6977aeb914c1c422cb5d4636bad73c94c61568957b2b,0.0,0,0,1,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,2,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,3,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,4,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000
5,10/02/2026,18:31:46,99000000,12000000,0x039506a0e5d15c2c51d6977aeb914c1c422cb5d4636bad73c94c61568957b2b,0.0,0,0,1,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,2,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,3,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,4,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000
6,10/02/2026,18:33:46,99000000,12000000,0x039506a0e5d15c2c51d6977aeb914c1c422cb5d4636bad73c94c61568957b2b,0.0,0,0,1,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,2,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,3,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,4,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000
7,10/02/2026,18:35:39,99000000,12000000,0x039506a0e5d15c2c51d6977aeb914c1c422cb5d4636bad73c94c61568957b2b,0.0,0,0,1,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,2,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,3,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,4,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000
8,11/02/2026,12:44:12,99000000,12000000,0x039506a0e5d15c2c51d6977aeb914c1c422cb5d4636bad73c94c61568957b2b,0.0,0,0,1,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,2,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,3,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,4,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000
9,11/02/2026,12:48:25,99000000,12000000,0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,0.0,0,0,1,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,2,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,3,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,4,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000
10,11/02/2026,17:10:02,99000000,12000000,0x039506a0e5d15c2c51d6977aeb914c1c422cb5d4636bad73c94c61568957b2b,0.0,0,0,1,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,2,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,3,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,4,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000
11,12/02/2026,11:50:51,99000000,12000000,0x039506a0e5d15c2c51d6977aeb914c1c422cb5d4636bad73c94c61568957b2b,0.0,0,0,1,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,2,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,3,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,4,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000
12,12/02/2026,12:48:48,99000000,12000000,0x039506a0e5d15c2c51d6977aeb914c1c422cb5d4636bad73c94c61568957b2b,0.0,0,0,1,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,2,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,3,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,4,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000
13,12/02/2026,15:08:53,99000000,12000000,0x039506a0e5d15c2c51d6977aeb914c1c422cb5d4636bad73c94c61568957b2b,0.0,0,0,1,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,2,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,3,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,4,0.0,0.0,1000,0/0/0-0:0:0,0,0.0,0x0000000000000000000000000000000000000000000000000000000000000000
